,Nivel de formación alcanzado,Tareas,Tiempo dedicado a trabajar en determinadas tareas,Tipo de dato,Total
220,Educación superior,Realizar esfuerzos físicos,Menos de la mitad,Valores absolutos,"8.088,7"
221,Educación superior,Realizar esfuerzos físicos,Menos de la mitad,Porcentajes,"86,43"
222,Educación superior,Realizar esfuerzos físicos,No sabe/ No contesta,Valores absolutos,"112,6"
223,Educación superior,Realizar esfuerzos físicos,No sabe/ No contesta,Porcentajes,"1,20"
224,Educación superior,Realizar tareas que requieren destreza con los dedos,Total,Valores absolutos,"9.358,4"
225,Educación superior,Realizar tareas que requieren destreza con los dedos,Total,Porcentajes,"100,00"
226,Educación superior,Realizar tareas que requieren destreza con los dedos,La mitad o más,Valores absolutos,"1.286,0"
227,Educación superior,Realizar tareas que requieren destreza con los dedos,La mitad o más,Porcentajes,"13,74"
228,Educación superior,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Valores absolutos,"7.925,9"
229,Educación superior,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Porcentajes,"84,69"
230,Educación superior,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Valores absolutos,"146,5"
231,Educación superior,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Porcentajes,"1,57"
232,Educación superior,Interactuar con personas de la misma empresa u organización,Total,Valores absolutos,"9.358,4"
233,Educación superior,Interactuar con personas de la misma empresa u organización,Total,Porcentajes,"100,00"
234,Educación superior,Interactuar con personas de la misma empresa u organización,La mitad o más,Valores absolutos,"4.759,0"
235,Educación superior,Interactuar con personas de la misma empresa u organización,La mitad o más,Porcentajes,"50,85"
236,Educación superior,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Valores absolutos,"4.361,8"
237,Educación superior,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Porcentajes,"46,61"
238,Educación superior,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Valores absolutos,"237,6"
239,Educación superior,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Porcentajes,"2,54"
240,Educación superior,Interactuar con personas externas a la empresa u organización,Total,Valores absolutos,"9.358,4"
241,Educación superior,Interactuar con personas externas a la empresa u organización,Total,Porcentajes,"100,00"
242,Educación superior,Interactuar con personas externas a la empresa u organización,La mitad o más,Valores absolutos,"4.733,3"
243,Educación superior,Interactuar con personas externas a la empresa u organización,La mitad o más,Porcentajes,"50,58"
244,Educación superior,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Valores absolutos,"4.412,8"
245,Educación superior,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Porcentajes,"47,15"
246,Educación superior,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Valores absolutos,"212,3"
247,Educación superior,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Porcentajes,"2,27"
248,Educación superior,"Asesorar, formar o enseñar a otras personas",Total,Valores absolutos,"9.358,4"
249,Educación superior,"Asesorar, formar o enseñar a otras personas",Total,Porcentajes,"100,00"
250,Educación superior,"Asesorar, formar o enseñar a otras personas",La mitad o más,Valores absolutos,"2.153,0"
251,Educación superior,"Asesorar, formar o enseñar a otras personas",La mitad o más,Porcentajes,"23,01"
252,Educación superior,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Valores absolutos,"6.954,7"
253,Educación superior,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Porcentajes,"74,31"
254,Educación superior,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Valores absolutos,"250,7"
255,Educación superior,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Porcentajes,"2,68"
